"longitude","latitude","genus","species","country"
-72.475194,7.308066,"Belminus","Belminus ferroae","CO"
-72.32,7.211111,"Belminus","Belminus ferroae","CO"
-72.32129,7.119879,"Belminus","Belminus ferroae","CO"
-72.19,7.123889,"Belminus","Belminus ferroae","CO"
-53.24036,3.91451,"Cavernicola","Cavernicola pilosa","GF"
-73.687,3.832,"Cavernicola","Cavernicola pilosa","CO"
-70.61,6.536,"Cavernicola","Cavernicola pilosa","CO"
-53.23477,3.92404,"Cavernicola","Cavernicola pilosa","GF"
-53.23477,3.92404,"Cavernicola","Cavernicola pilosa","GF"
-60.703333,-7.546111,"Cavernicola","Cavernicola pilosa","BR"
-85.059952,9.867095,"Cavernicola","Cavernicola pilosa","CR"
-72.767345,-3.426941,"Cavernicola","Cavernicola pilosa","PE"
-43.937801,-19.920799,"Cavernicola","Cavernicola pilosa","BR"
-43.937801,-19.920799,"Cavernicola","Cavernicola pilosa","BR"
-43.937801,-19.920799,"Cavernicola","Cavernicola pilosa","BR"
-43.937801,-19.920799,"Cavernicola","Cavernicola pilosa","BR"
-48.360298,-10.2128,"Cavernicola","Cavernicola pilosa","BR"
-43.937801,-19.920799,"Cavernicola","Cavernicola pilosa","BR"
-43.937801,-19.920799,"Cavernicola","Cavernicola pilosa","BR"
-43.937801,-19.920799,"Cavernicola","Cavernicola pilosa","BR"
-43.937801,-19.920799,"Cavernicola","Cavernicola pilosa","BR"
-43.937801,-19.920799,"Cavernicola","Cavernicola pilosa","BR"
-43.937801,-19.920799,"Cavernicola","Cavernicola pilosa","BR"
-43.937801,-19.920799,"Cavernicola","Cavernicola pilosa","BR"
-43.937801,-19.920799,"Cavernicola","Cavernicola pilosa","BR"
-43.937801,-19.920799,"Cavernicola","Cavernicola pilosa","BR"
-43.937801,-19.920799,"Cavernicola","Cavernicola pilosa","BR"
-43.937801,-19.920799,"Cavernicola","Cavernicola pilosa","BR"
-43.937801,-19.920799,"Cavernicola","Cavernicola pilosa","BR"
-43.937801,-19.920799,"Cavernicola","Cavernicola pilosa","BR"
-43.937801,-19.920799,"Cavernicola","Cavernicola pilosa","BR"
-43.937801,-19.920799,"Cavernicola","Cavernicola pilosa","BR"
-43.937801,-19.920799,"Cavernicola","Cavernicola pilosa","BR"
-48.360298,-10.2128,"Cavernicola","Cavernicola pilosa","BR"
-48.360298,-10.2128,"Cavernicola","Cavernicola pilosa","BR"
-48.360298,-10.2128,"Cavernicola","Cavernicola pilosa","BR"
-48.360298,-10.2128,"Cavernicola","Cavernicola pilosa","BR"
-48.360298,-10.2128,"Cavernicola","Cavernicola pilosa","BR"
-48.360298,-10.2128,"Cavernicola","Cavernicola pilosa","BR"
-48.360298,-10.2128,"Cavernicola","Cavernicola pilosa","BR"
-48.360298,-10.2128,"Cavernicola","Cavernicola pilosa","BR"
-48.360298,-10.2128,"Cavernicola","Cavernicola pilosa","BR"
-48.360298,-10.2128,"Cavernicola","Cavernicola pilosa","BR"
-48.360298,-10.2128,"Cavernicola","Cavernicola pilosa","BR"
-48.360298,-10.2128,"Cavernicola","Cavernicola pilosa","BR"
-48.360298,-10.2128,"Cavernicola","Cavernicola pilosa","BR"
-48.360298,-10.2128,"Cavernicola","Cavernicola pilosa","BR"
-48.360298,-10.2128,"Cavernicola","Cavernicola pilosa","BR"
-48.360298,-10.2128,"Cavernicola","Cavernicola pilosa","BR"
-48.360298,-10.2128,"Cavernicola","Cavernicola pilosa","BR"
-45.6856,-19.801399,"Cavernicola","Cavernicola pilosa","BR"
-45.6856,-19.801399,"Cavernicola","Cavernicola pilosa","BR"
-45.6856,-19.801399,"Cavernicola","Cavernicola pilosa","BR"
-45.6856,-19.801399,"Cavernicola","Cavernicola pilosa","BR"
-48.360298,-10.2128,"Cavernicola","Cavernicola pilosa","BR"
-69.728693,9.037128,"Cavernicola","Cavernicola pilosa","VE"
-73.287385,6.639559,"Cavernicola","Cavernicola pilosa","CO"
-69.462067,8.942022,"Cavernicola","Cavernicola pilosa","VE"
-77.286488,-8.193464,"Cavernicola","Cavernicola pilosa","PE"
-68.91817,9.622045,"Cavernicola","Cavernicola pilosa","VE"
-66.777967,10.435337,"Cavernicola","Cavernicola pilosa","VE"
-67.055395,1.918953,"Cavernicola","Cavernicola pilosa","VE"
-78.142191,-6.866651,"Cavernicola","Cavernicola pilosa","PE"
-73.251633,-3.743673,"Cavernicola","Cavernicola pilosa","PE"
-69.2388,9.1021,"Cavernicola","Cavernicola pilosa","VE"
