 ,KBTribe,KBGenus_Sp,KBGenus,KBSpecies,Country,Region_locality_city,Place,Lat,Long,biome,Habitat,Method,N_bugs_reactive,Class,Order,Family,Host_Genus_sp,Host_genus,Host_sp,Vern_name_En,Short_Vern_name_En,Vern_name_Sp,Short_Vern_name_Sp,Pct_feeds,N_feeds,Source_PDF,Doubts/Comments
1,Triatomini,Triatoma longipennis,Triatoma,longipennis,Mexico,Michoacán de Ocampo State,Venustiano Carranza Municipality (La Palma) and Parácuaro Municipality (Crucero de Parácuaro) ,19.59819,-102.51812,3,Domiciliary_Peridomiciliary,DNA_PCR,2,Mammalia,Primates,Human Hominidae,Homo sapiens,Homo,sapiens,human,man,humano,humano,50.00,1,202481,
1,Triatomini,Triatoma longipennis,Triatoma,longipennis,Mexico,Michoacán de Ocampo State,Venustiano Carranza Municipality (La Palma) and Parácuaro Municipality (Crucero de Parácuaro) ,19.59819,-102.51812,3,Domiciliary_Peridomiciliary,DNA_PCR,2,Mammalia,Rodentia,Muridae,Mus musculus,Mus,musculus,mouse,rat,rata,rata,50.00,1,202481,
2,Triatomini,Meccus pallidipennis,Meccus,pallidipennis,Mexico,"Michoacán de Ocampo State, Municipalities: Venustiano Carranza (La Palma), Parácuaro (Crucero de Parácuaro), Taretan (Taretan), Mujica (Nuevo Capirio)","Municipalities: Venustiano Carranza (La Palma), Parácuaro (Crucero de Parácuaro), Taretan (Taretan), Mujica (Nuevo Capirio)",19.33981,-102.26842,3,Domiciliary_Peridomiciliary,DNA_PCR,63,Aves,Galliformes,Phasianidae,Gallus gallus,Gallus,gallus,cock or chicken or hen,chicken,gallo o gallina,gallina,4.76,3,202481,
2,Triatomini,Meccus pallidipennis,Meccus,pallidipennis,Mexico,Michoacán de Ocampo State,"Municipalities: Venustiano Carranza (La Palma), Parácuaro (Crucero de Parácuaro), Taretan (Taretan), Mujica (Nuevo Capirio)",19.33981,-102.26842,3,Domiciliary_Peridomiciliary,DNA_PCR,63,Mammalia,Artiodactyla,Bovidae,Bos taurus,Bos,taurus,cattle or cow,cow,ganado o vaca,vaca,3.17,2,202481,
2,Triatomini,Meccus pallidipennis,Meccus,pallidipennis,Mexico,"Michoacán de Ocampo State, Municipalities: Venustiano Carranza (La Palma), Parácuaro (Crucero de Parácuaro), Taretan (Taretan), Mujica (Nuevo Capirio)","Municipalities: Venustiano Carranza (La Palma), Parácuaro (Crucero de Parácuaro), Taretan (Taretan), Mujica (Nuevo Capirio)",19.33981,-102.26842,3,Domiciliary_Peridomiciliary,DNA_PCR,63,Mammalia,Artiodactyla,Suidae,Sus scrofa,Sus,scrofa,domestic or wild pig,pig,chancho o cerdo o cerdo salvaje o jabali ,chancho,4.76,3,202481,
2,Triatomini,Meccus pallidipennis,Meccus,pallidipennis,Mexico,"Michoacán de Ocampo State, Municipalities: Venustiano Carranza (La Palma), Parácuaro (Crucero de Parácuaro), Taretan (Taretan), Mujica (Nuevo Capirio)","Municipalities: Venustiano Carranza (La Palma), Parácuaro (Crucero de Parácuaro), Taretan (Taretan), Mujica (Nuevo Capirio)",19.33981,-102.26842,3,Domiciliary_Peridomiciliary,DNA_PCR,63,Mammalia,Carnivora,Canidae,Canis familiaris,Canis,familiaris,dog,dog,perro,perro,20.63,13,202481,
2,Triatomini,Meccus pallidipennis,Meccus,pallidipennis,Mexico,"Michoacán de Ocampo State, Municipalities: Venustiano Carranza (La Palma), Parácuaro (Crucero de Parácuaro), Taretan (Taretan), Mujica (Nuevo Capirio)","Municipalities: Venustiano Carranza (La Palma), Parácuaro (Crucero de Parácuaro), Taretan (Taretan), Mujica (Nuevo Capirio)",19.33981,-102.26842,3,Domiciliary_Peridomiciliary,DNA_PCR,63,Mammalia,Carnivora,Felidae,Felis catus,Felis,catus,domestic cat,cat,gato domestico,gato,1.59,1,202481,
2,Triatomini,Meccus pallidipennis,Meccus,pallidipennis,Mexico,"Michoacán de Ocampo State, Municipalities: Venustiano Carranza (La Palma), Parácuaro (Crucero de Parácuaro), Taretan (Taretan), Mujica (Nuevo Capirio)","Municipalities: Venustiano Carranza (La Palma), Parácuaro (Crucero de Parácuaro), Taretan (Taretan), Mujica (Nuevo Capirio)",19.33981,-102.26842,3,Domiciliary_Peridomiciliary,DNA_PCR,63,Mammalia,Chiroptera,Vespertilionidae,Lasiomycteris noctivagans,Lasiomycteris,noctivagans,Silver-haired bat,bat,murcielago canoso,murcielago,1.59,1,202481,
2,Triatomini,Meccus pallidipennis,Meccus,pallidipennis,Mexico,"Michoacán de Ocampo State, Municipalities: Venustiano Carranza (La Palma), Parácuaro (Crucero de Parácuaro), Taretan (Taretan), Mujica (Nuevo Capirio)","Municipalities: Venustiano Carranza (La Palma), Parácuaro (Crucero de Parácuaro), Taretan (Taretan), Mujica (Nuevo Capirio)",19.33981,-102.26842,3,Domiciliary_Peridomiciliary,DNA_PCR,63,Mammalia,Lagomorpha,Leporidae,Oryctolagus cuniculus,Oryctolagus,cuniculus,rabbit,rabbit,conejo comun,conejo,23.81,15,202481,
2,Triatomini,Meccus pallidipennis,Meccus,pallidipennis,Mexico,"Michoacán de Ocampo State, Municipalities: Venustiano Carranza (La Palma), Parácuaro (Crucero de Parácuaro), Taretan (Taretan), Mujica (Nuevo Capirio)","Municipalities: Venustiano Carranza (La Palma), Parácuaro (Crucero de Parácuaro), Taretan (Taretan), Mujica (Nuevo Capirio)",19.33981,-102.26842,3,Domiciliary_Peridomiciliary,DNA_PCR,63,Mammalia,Perissodactyla,Equidae,Equus caballus,Equus,caballus,horse,horse,caballo,caballo,3.17,2,202481,
